LV,nominal,FV,note,test_statistic,p-value,CI-lower,CI-upper,relative_effect,FVC_n,LVC_n
make_VERB,mention_SUBST,mention_VERB,EXTREME OUTLIERS PRESENT,-0.572,0.686,-1.245,2.043,0.432,1176,2
make_VERB,decision_SUBST,decide_VERB,EXTREME OUTLIERS PRESENT,-3.706,1,0.398,0.468,0.433,1523,295
take_VERB,decision_SUBST,decide_VERB,EXTREME OUTLIERS PRESENT,-3.258,0.999,0.273,0.446,0.36,1523,45
reach_VERB,decision_SUBST,decide_VERB,EXTREME OUTLIERS PRESENT,-13.585,0.995,-0.054,0.276,0.115,1523,3
give_VERB,kiss_SUBST,kiss_VERB,EXTREME OUTLIERS PRESENT,-4.431,1,0.267,0.41,0.339,179,51
have_VERB,kiss_SUBST,kiss_VERB,EXTREME OUTLIERS PRESENT,0.298,0.379,0.283,0.763,0.524,179,5
make_VERB,cut_SUBST,cut_VERB,EXTREME OUTLIERS PRESENT,-4.949,1,0.051,0.32,0.186,1776,15
give_VERB,support_SUBST,support_VERB,EXTREME OUTLIERS PRESENT,-1.537,0.933,0.288,0.532,0.41,804,24
make_VERB,suggestion_SUBST,suggest_VERB,EXTREME OUTLIERS PRESENT,-0.068,0.527,0.376,0.617,0.496,912,29
have_VERB,laugh_SUBST,laugh_VERB,EXTREME OUTLIERS PRESENT,0.769,0.228,0.446,0.622,0.534,814,65
give_VERB,help_SUBST,help_VERB,EXTREME OUTLIERS PRESENT,-3.438,0.997,0.168,0.42,0.294,2851,16
have_VERB,chat_SUBST,chat_VERB,EXTREME OUTLIERS PRESENT,-4.21,1,0.339,0.441,0.39,316,176
take_VERB,reading_SUBST,read_VERB,insufficient observations,test_result$statistic,,,,,3482,1
give_VERB,address_SUBST,address_VERB,EXTREME OUTLIERS PRESENT,2.706,0.006,0.535,0.74,0.637,255,31
give_VERB,answer_SUBST,answer_VERB,EXTREME OUTLIERS PRESENT,-4.291,1,0.33,0.437,0.383,718,91
make_VERB,change_SUBST,change_VERB,EXTREME OUTLIERS PRESENT,-5.143,1,0.282,0.405,0.343,3152,68
give_VERB,smile_SUBST,smile_VERB,EXTREME OUTLIERS PRESENT,1.537,0.138,0.259,0.964,0.606,132,3
make_VERB,choice_SUBST,choose_VERB,EXTREME OUTLIERS PRESENT,-2.69,0.994,0.278,0.472,0.374,1016,34
make_VERB,discovery_SUBST,discover_VERB,EXTREME OUTLIERS PRESENT,1.548,0.091,0.369,0.93,0.659,193,6
have_VERB,smell_SUBST,smell_VERB,EXTREME OUTLIERS PRESENT,-3.53,0.996,0.17,0.431,0.299,622,11
take_VERB,drive_SUBST,drive_VERB,EXTREME OUTLIERS PRESENT,-0.209,0.58,-0.094,1.036,0.47,1999,4
make_VERB,payment_SUBST,pay_VERB,EXTREME OUTLIERS PRESENT,-4.065,0.998,0.079,0.384,0.233,6118,10
give_VERB,advice_SUBST,advise_VERB,EXTREME OUTLIERS PRESENT,-0.984,0.843,0.384,0.539,0.462,202,66
pay_VERB,attention_SUBST,attend_VERB,EXTREME OUTLIERS PRESENT,-0.56,0.717,0.419,0.547,0.482,222,113
