FVC_POS,LVC,LV_POS,nominal_POS,punctive/durative,count/mass syntax,source,identical nominal?,related nominal?,passive?,comments
thank_VERB,give thanks,give_VERB,thanks_SUBST,durative,mass,Wittenberg & Levy (2017),FALSE,TRUE,FALSE,
throw_VERB,have a throw,have_VERB,throw_SUBST,punctive,count,Wierzbicka (1982),TRUE,TRUE,FALSE,have a throw of
try_VERB,have a try,have_VERB,try_SUBST,durative,count,Brugman (2001),TRUE,TRUE,FALSE,
walk_VERB,have a walk,have_VERB,walk_SUBST,durative,count,Wierzbicka (1982),TRUE,TRUE,FALSE,
wash_VERB,have a wash,have_VERB,wash_SUBST,durative,count,Wierzbicka (1982),TRUE,TRUE,FALSE,
whiff_VERB,have a whiff,have _VERB,whiff_SUBST,punctive,count,Brugman (2001),TRUE,TRUE,FALSE,
yawn_VERB,have a yawn,have_VERB,yawn_SUBST,punctive,count,Wierzbicka (1982),TRUE,TRUE,FALSE,
look_VERB,have a look,have_VERB,look_SUBST,durative,count,Wierzbicka (1982),FALSE,TRUE,FALSE,have a look (for)
argue_VERB,have an argument,have_VERB,argument_SUBST,durative,count,Brugman (2001),FALSE,TRUE,FALSE,
lunch_VERB,have lunch,have_VERB,lunch_SUBST,durative,mass,Ronan & Schneider (2015),TRUE,TRUE,FALSE,
object_VERB,have an objection,have_VERB,objection_SUBST,durative,count,Ronan & Schneider (2015),FALSE,TRUE,FALSE,
lead_VERB,have the lead,have_VERB,lead_SUBST,durative,mass,Ronan & Schneider (2015),TRUE,TRUE,FALSE,
