verb,count,min,Q1,median,mean,std,Q3,max
shake_VERB,192.0,1.0,7.0,12.5,17.703125,17.833446740436326,22.25,140.0
make_VERB_reference_SUBST,18.0,9.0,16.25,25.5,30.77777777777778,20.868088656678804,38.25,96.0
state_VERB,117.0,3.0,13.0,23.0,24.905982905982906,14.952212906215879,34.0,78.0
give_VERB_ring_SUBST,129.0,3.0,9.0,14.0,20.224806201550386,18.30438826743362,25.0,113.0
study_VERB,384.0,1.0,8.0,15.0,20.684895833333332,17.9551859019173,26.0,147.0
miss_VERB,1418.0,1.0,7.0,12.0,17.88293370944993,16.994095180152442,23.0,202.0
give_VERB_summary_SUBST,2.0,20.0,20.25,20.5,20.5,0.7071067811865476,20.75,21.0
charge_VERB,630.0,1.0,9.0,15.0,19.182539682539684,14.868689049425386,25.0,96.0
have_VERB_objection_SUBST,25.0,3.0,15.0,18.0,21.16,11.025273995083598,32.0,44.0
cough_VERB,102.0,1.0,7.0,10.0,14.715686274509803,12.39480684210436,20.0,70.0
breathe_VERB,180.0,1.0,6.0,13.0,18.433333333333334,19.78490480392965,23.0,172.0
make_VERB_declaration_SUBST,2.0,35.0,41.5,48.0,48.0,18.384776310850235,54.5,61.0
give_VERB_example_SUBST,106.0,3.0,7.0,13.0,18.5188679245283,14.797188363608278,24.0,64.0
bless_VERB,242.0,1.0,5.0,9.0,13.74793388429752,15.102364955487019,17.75,119.0
announce_VERB,120.0,1.0,15.0,21.5,25.458333333333332,18.210669987690192,31.25,96.0
take_VERB_sip_SUBST,10.0,2.0,6.25,7.0,8.2,3.7947331922020555,11.25,14.0
have_VERB_kick_SUBST,5.0,5.0,7.0,7.0,12.6,12.60158720161869,9.0,35.0
take_VERB_taste_SUBST,1.0,7.0,7.0,7.0,7.0,nan,7.0,7.0
unite_VERB,23.0,3.0,11.0,17.0,21.782608695652176,14.183718328162337,30.0,58.0
carry_VERB_study_SUBST,1.0,26.0,26.0,26.0,26.0,nan,26.0,26.0
shout_VERB,254.0,1.0,6.0,12.0,19.594488188976378,21.917130330198948,23.0,190.0
reach_VERB_agreement_SUBST,3.0,11.0,12.0,13.0,14.333333333333334,4.163331998932265,16.0,19.0
pitch_VERB,43.0,2.0,9.0,14.0,19.0,16.879122071504842,22.0,86.0
make_VERB_mistake_SUBST,156.0,3.0,12.75,18.0,22.743589743589745,17.376985816385467,27.25,115.0
make_VERB_joke_SUBST,46.0,2.0,7.0,15.5,20.804347826086957,26.157318555418897,21.75,172.0
influence_VERB,160.0,1.0,11.0,18.0,23.63125,18.261766044296046,32.0,109.0
walk_VERB,3051.0,1.0,9.0,15.0,21.046869878728288,20.670833951843893,26.0,321.0
frighten_VERB,84.0,2.0,6.0,11.5,17.738095238095237,21.752783534731662,21.0,138.0
reach_VERB_decision_SUBST,3.0,28.0,30.0,32.0,33.0,5.5677643628300215,35.5,39.0
dance_VERB,197.0,1.0,7.0,11.0,17.18274111675127,20.381491869225147,19.0,212.0
make_VERB_contribution_SUBST,46.0,5.0,14.0,21.5,26.26086956521739,19.33613173150628,35.0,98.0
guide_VERB,24.0,4.0,12.25,18.5,23.833333333333332,20.239149893357606,26.0,85.0
declare_VERB,105.0,2.0,9.0,16.0,22.895238095238096,20.461936430622654,28.0,119.0
take_VERB_pity_SUBST,5.0,11.0,12.0,18.0,23.4,14.046351839534706,33.0,43.0
take_VERB_punch_SUBST,1.0,15.0,15.0,15.0,15.0,nan,15.0,15.0
have_VERB_doubt_SUBST,49.0,5.0,16.0,24.0,29.6734693877551,19.234720944061504,39.0,94.0
have_VERB_chat_SUBST,178.0,2.0,12.0,21.0,26.48876404494382,22.064681178887035,34.0,162.0
treat_VERB,473.0,1.0,8.0,16.0,22.021141649048626,19.837677545236772,29.0,140.0
make_VERB_order_SUBST,6.0,4.0,12.5,18.0,25.0,19.98999749874922,37.75,55.0
take_VERB_walk_SUBST,7.0,8.0,9.0,12.0,13.714285714285714,6.156684327197709,16.5,25.0
assist_VERB,81.0,4.0,18.0,27.0,32.45679012345679,22.6362813767611,41.0,125.0
step_VERB,155.0,2.0,9.0,17.0,26.44516129032258,25.45281908084305,32.5,133.0
give_VERB_bath_SUBST,1.0,8.0,8.0,8.0,8.0,nan,8.0,8.0
appear_VERB,385.0,2.0,12.0,20.0,25.433766233766235,19.27423805771911,32.0,139.0
thank_VERB,2928.0,1.0,6.0,9.0,13.820013661202186,15.736080797937355,16.0,192.0
make_VERB_effort_SUBST,140.0,2.0,12.0,21.0,25.642857142857142,19.414105762804866,31.25,106.0
apply_VERB,799.0,1.0,11.0,19.0,24.536921151439298,19.96132415918371,32.0,171.0
