verb,count,min,Q1,median,mean,std,Q3,max
recognise_VERB,365.0,1.0,9.0,17.0,24.265753424657536,24.722927357755104,31.0,207.0
make_VERB_answer_SUBST,4.0,9.0,27.0,40.0,41.25,27.980648074457935,54.25,76.0
cuddle_VERB,41.0,2.0,6.0,11.0,18.29268292682927,19.847221345114065,22.0,112.0
have_VERB_game_SUBST,73.0,4.0,9.0,16.0,20.575342465753426,16.91475178671234,23.0,83.0
give_VERB_push_SUBST,7.0,7.0,9.0,12.0,12.285714285714286,5.089672082242814,13.5,22.0
give_VERB_taste_SUBST,3.0,5.0,6.0,7.0,9.666666666666666,6.429100507328637,12.0,17.0
object_VERB,108.0,2.0,9.0,16.5,21.546296296296298,18.174329364150456,26.5,93.0
nibble_VERB,30.0,1.0,6.0,8.5,11.866666666666667,10.785473414811666,15.75,55.0
have_VERB_try_SUBST,14.0,2.0,4.0,6.0,8.928571428571429,7.2267056620063554,10.25,25.0
have_VERB_argument_SUBST,74.0,5.0,8.25,16.0,24.135135135135137,40.30613139540534,24.75,331.0
battle_VERB,24.0,3.0,9.75,13.5,19.625,19.84025880791925,20.5,93.0
have_VERB_lunch_SUBST,181.0,3.0,8.0,15.0,20.104972375690608,17.6523535611893,24.0,115.0
copy_VERB,262.0,2.0,8.0,12.0,16.282442748091604,13.527763311686682,21.0,97.0
make_VERB_recommendation_SUBST,19.0,4.0,22.0,27.0,29.63157894736842,14.287564625364835,36.0,58.0
make_VERB_promise_SUBST,6.0,5.0,10.0,19.5,26.166666666666668,23.489714060981385,33.5,68.0
take_VERB_rest_SUBST,16.0,4.0,10.0,15.0,18.125,11.342398335449166,28.0,43.0
give_VERB_talk_SUBST,40.0,4.0,14.75,22.5,27.925,21.465998755336372,36.25,111.0
make_VERB_complaint_SUBST,13.0,11.0,16.0,30.0,28.076923076923077,12.100010595460503,36.0,49.0
embrace_VERB,32.0,2.0,5.5,12.5,16.5625,15.422935371837326,20.25,77.0
propose_VERB,344.0,1.0,12.0,21.5,27.627906976744185,25.78925421419289,35.0,210.0
have_VERB_cough_SUBST,10.0,4.0,7.5,24.0,41.1,45.34423888433899,62.5,148.0
give_VERB_hug_SUBST,18.0,4.0,10.0,22.5,25.0,27.810281636579706,26.0,129.0
complain_VERB,396.0,1.0,8.0,15.0,21.0479797979798,21.276366420522802,27.0,270.0
compare_VERB,519.0,1.0,10.5,17.0,21.248554913294797,16.860828035389236,27.0,136.0
film_VERB,93.0,2.0,8.0,13.0,17.548387096774192,14.606070900583603,22.0,87.0
have_VERB_sip_SUBST,10.0,2.0,5.0,6.0,7.7,4.762119042797836,9.0,18.0
make_VERB_suggestion_SUBST,30.0,4.0,7.0,17.0,26.1,26.650160121146715,39.5,127.0
feel_VERB,6536.0,1.0,9.0,16.0,22.054620563035495,20.010798540254854,28.0,321.0
make_VERB_improvement_SUBST,2.0,26.0,26.25,26.5,26.5,0.7071067811865476,26.75,27.0
take_VERB_action_SUBST,77.0,4.0,13.0,20.0,24.77922077922078,19.112288260245563,30.0,127.0
make_VERB_cut_SUBST,15.0,4.0,23.0,42.0,41.266666666666666,27.056730524338423,49.0,97.0
test_VERB,323.0,1.0,8.0,15.0,19.808049535603715,17.93449944680577,23.0,135.0
poke_VERB,73.0,2.0,6.0,10.0,12.232876712328768,8.734542772402136,16.0,49.0
fuss_VERB,26.0,3.0,9.0,15.5,20.807692307692307,16.292376697754644,24.5,62.0
order_VERB,464.0,1.0,8.0,14.0,19.732758620689655,19.116606040268902,24.0,132.0
give_VERB_kiss_SUBST,53.0,2.0,5.0,8.0,13.018867924528301,19.00656826350558,14.0,138.0
damage_VERB,115.0,1.0,10.0,15.0,20.652173913043477,16.983502561831422,24.0,88.0
give_VERB_advice_SUBST,66.0,5.0,15.0,22.0,26.242424242424242,17.36491653709647,33.5,82.0
