label,count,min,Q1,median,mean,std,Q3,max
combined_overview,172766.0,1.0,8.0,15.0,20.503403447437574,19.012302131135996,26.0,331.0
LVC_overview,7205.0,2.0,9.0,16.0,21.423455933379596,18.917487319355196,27.0,331.0
FVC_overview,165561.0,1.0,8.0,15.0,20.46336395648734,19.015463696482044,26.0,331.0
