LV,nominal,FV,note,test_statistic,p-value,CI-lower,CI-upper,relative_effect,FVC_n,LVC_n
have_VERB,understanding_SUBST,understand_VERB,EXTREME OUTLIERS REMOVED,-1.525,0.933,0.279,0.532,0.406,2337,22
make_VERB,offer_SUBST,offer_VERB,EXTREME OUTLIERS REMOVED,-0.838,0.795,0.225,0.632,0.427,806,10
take_VERB,shower_SUBST,shower_VERB,EXTREME OUTLIERS REMOVED,-0.979,0.806,0.092,0.75,0.421,38,3
give_VERB,shake_SUBST,shake_VERB,EXTREME OUTLIERS REMOVED,-1.888,0.931,-0.049,0.628,0.286,177,5
make_VERB,statement_SUBST,state_VERB,,-1.795,0.964,0.322,0.509,0.414,113,46
have_VERB,thought_SUBST,think_VERB,EXTREME OUTLIERS REMOVED,NaN,,,,,54019,34
give_VERB,miss_SUBST,miss_VERB,EXTREME OUTLIERS REMOVED,-6.856,1,0.136,0.332,0.236,1313,7
have_VERB,cough_SUBST,cough_VERB,EXTREME OUTLIERS REMOVED,-0.775,0.786,0.118,0.682,0.404,101,9
take_VERB,breath_SUBST,breathe_VERB,EXTREME OUTLIERS REMOVED,-0.248,0.589,0.366,0.612,0.485,174,24
give_VERB,blessing_SUBST,bless_VERB,insufficient observations,test_result$statistic,,,,,235,1
make_VERB,announcement_SUBST,announce_VERB,EXTREME OUTLIERS REMOVED,-0.569,0.719,0.243,0.642,0.448,115,14
give_VERB,shout_SUBST,shout_VERB,EXTREME OUTLIERS REMOVED,-0.284,0.607,0.387,0.588,0.486,243,23
have_VERB,walk_SUBST,walk_VERB,EXTREME OUTLIERS REMOVED,1.149,0.125,0.463,0.627,0.546,2885,51
take_VERB,walk_SUBST,walk_VERB,EXTREME OUTLIERS REMOVED,0.232,0.403,0.367,0.665,0.513,2885,6
have_VERB,dance_SUBST,dance_VERB,EXTREME OUTLIERS REMOVED,0.022,0.493,0.308,0.691,0.502,188,16
give_VERB,guidance_SUBST,guide_VERB,EXTREME OUTLIERS REMOVED,-3.072,0.995,-0.005,0.409,0.198,21,13
make_VERB,declaration_SUBST,declare_VERB,EXTREME OUTLIERS REMOVED,-1.083,0.778,-1.498,2.028,0.265,100,2
give_VERB,treatment_SUBST,treat_VERB,EXTREME OUTLIERS REMOVED,-2.938,0.984,0.011,0.46,0.235,453,7
give_VERB,assistance_SUBST,assist_VERB,,0.416,0.333,0.136,0.984,0.56,80,5
take_VERB,step_SUBST,step_VERB,EXTREME OUTLIERS REMOVED,-2.223,0.985,0.284,0.489,0.387,146,37
make_VERB,appearance_SUBST,appear_VERB,EXTREME OUTLIERS REMOVED,14.921,0.003,0.784,1.099,0.939,365,3
give_VERB,thanks_SUBST,thank_VERB,EXTREME OUTLIERS REMOVED,-1.16,0.823,-0.569,1.259,0.315,2793,3
make_VERB,application_SUBST,apply_VERB,EXTREME OUTLIERS REMOVED,-5.993,1,0.115,0.321,0.218,754,13
